"EIS.Facility.ID","Agency.Identifier","Program.System.Code","State","County","State.and.County.Code","Tribal.Name","Facility.Name","Company.Name","NAICS..Primary.","Facility.Source.Type","Operating.Status","Site.Latitiude","Site.Longitude","Physical.Address","City","State.1","Zip.Code","eis$EIS.Facility.ID","KEEP"
10201711,"191027000000","CARB","CA","Los Angeles",6037,NA,"MASK-OFF COMPANY, INC","MASK-OFF COMPANY, INC",322220,"","OP",34.14229,-118.00643,"328 W CHESTNUT AVE","MONROVIA","CA","91016",10201711,"INCLUDE"
184711,"191026000000","CARB","CA","Los Angeles",6037,NA,"Maskell Graphics","Na",323111,"","OP",34.13993,-118.24102,"510 E Harvard St","Glendale","CA","91205",184711,"INCLUDE"
1320411,"191026000000","CARB","CA","Los Angeles",6037,NA,"MASKOTT LLC","Na",323111,"","OP",34.18238,-118.32451,"1121  ISABEL ST","BURBANK","CA","91506",1320411,"INCLUDE"
15805511,"3914304328","CARB","CA","San Joaquin",6077,NA,"MASONITE CORPORATION - DORFAB STOCKTON","MASONITE CORPORATION - DORFAB STOCKTON",321999,"","OP",37.935508,-121.231254,"3632 PETERSON ROAD","STOCKTON","CA","95203",15805511,"INCLUDE"
1408011,"3914303071","CARB","CA","San Joaquin",6077,NA,"MASONITE INTERNATIONAL INC","MASONITE INTERNATIONAL INC",321918,"","OP",37.944515,-121.29404,"340 W SCOTTS AVE","STOCKTON","CA","95203",1408011,"INCLUDE"
6481111,"1130313139","CARB","CA","Alameda",6001,NA,"MASTER BUILDERS SOLUTIONS LLC","MASTER BUILDERS SOLUTIONS LLC",325199,"","OP",37.52442,-122.017512,"38403 CHERRY STREET","NEWARK","CA","94560",6481111,"INCLUDE"
13559311,"311623659","CARB","CA","Placer",6061,NA,"MASTER COLOR","MASTER COLOR",323111,"","OP",38.73281,-121.30027,"1780 VERNON STREET, #7","ROSEVILLE","CA","95678",13559311,"INCLUDE"
14070311,"3813033104","CARB","CA","San Francisco",6075,NA,"MASTERPICE ARTIST CANVAS","MASTERPICE ARTIST CANVAS",325998,"","OP",37.7234,-122.38959,"1415 BANCROFT AVENUE","SAN FRANCISCO","CA","94124",14070311,"INCLUDE"
1634211,"36102671551","CARB","CA","San Bernardino",6071,NA,"Material Transport Services","Na",324121,"Hot Mix Asphalt Plant","ONRE",33.756807,-117.48136,"25225 Maitri Rd.","Corona","CA","91720",1634211,"INCLUDE"
2391611,"36102641045","CARB","CA","San Bernardino",6071,NA,"Matheson Gas Prod  Inc","Na",325120,"","ONRE",34.09372,-117.57325,"8800 Utica Ave","Rancho Cucamonga","CA","91730",2391611,"INCLUDE"
6500411,"113033047","CARB","CA","Alameda",6001,NA,"MATHESON TRI-GAS, INC","MATHESON TRI-GAS, INC",325120,"","OP",37.522037,-122.029075,"6775 CENTRAL AVE","NEWARK","CA","94560",6500411,"INCLUDE"
19341611,"7130323817","CARB","CA","Contra Costa",6013,NA,"MATHESON TRI-GAS, INC","MATHESON TRI-GAS, INC",325120,"","OP",37.948239,-122.363654,"1100 HENSLEY STREET","RICHMOND","CA","94801",19341611,"INCLUDE"
9925711,"4816355453","CARB","CA","Solano",6095,NA,"MATHESON TRIGAS","MATHESON TRIGAS",325120,"","OP",38.40711,-121.95774,"871 EUBANKS DRIVE","VACAVILLE","CA","95688",9925711,"INCLUDE"
126011,"41604594","CARB","CA","Butte",6007,NA,"MATHEWS READY MIX","MATHEWS READY MIX",327320,"Concrete Batch Plant","OP",39.73,-121.685,"1619 SKYWAY","CHICO","CA","95928",126011,"INCLUDE"
14157211,"41604229","CARB","CA","Butte",6007,NA,"MATHEWS READY MIX","MATHEWS READY MIX",327320,"Concrete Batch Plant","OP",39.481517,-121.576162,"4290 PACIFIC HEIGHTS ROAD","OROVILLE","CA","95965",14157211,"INCLUDE"
18705111,"51160820005","CARB","CA","Sutter",6101,NA,"MATHEWS READYMIX LLC","MATHEWS READYMIX LLC",327320,"","OP",39.145034,-121.613137,"249 LAMON WAY","YUBA CITY","CA","95991",18705111,"INCLUDE"
3244911,"3310267664","CARB","CA","Riverside",6065,NA,"MATICH CORP","MATICH CORP",324121,"Hot Mix Asphalt Plant","OP",33.94404,-116.86769,"1990 N HARGRAVE ST","BANNING","CA","92220",3244911,"INCLUDE"
3260111,"36102615041","CARB","CA","San Bernardino",6071,NA,"MATICH CORP","MATICH CORP",324121,"Hot Mix Asphalt Plant","OP",34.10077,-117.20785,"8203  ALABAMA ST","REDLANDS","CA","92374",3260111,"INCLUDE"
18236611,"191026000000","CARB","CA","Los Angeles",6037,NA,"MATRIX OIL CORPORATION - RIDEOUT HEIGHTS","MATRIX OIL CORPORATION - RIDEOUT HEIGHTS",324110,"","OP",34.0051,-118.05595,"5020  WORKMAN MILL RD","WHITTIER","CA","90601",18236611,"INCLUDE"
10028011,"3914303500","CARB","CA","San Joaquin",6077,NA,"MATTHEWS REDWOOD, INC.","MATTHEWS REDWOOD INC",321920,"","OP",38.00251,-121.21678,"6677 HARDAWAY RD","STOCKTON","CA","95215",10028011,"INCLUDE"
17371611,"3914307972","CARB","CA","San Joaquin",6077,NA,"MATTIVI BROTHERS LEASING INC.","MATTIVI BROTHERS LEASING INC",324121,"Hot Mix Asphalt Plant","OP",37.9175,-121.171,"VARIOUS LOCATIONS","SAN JOAQUIN COUNTY","CA","95215",17371611,"INCLUDE"
10425811,"1014304004","CARB","CA","Fresno",6019,NA,"MAXCO SUPPLY INC","MAXCO SUPPLY INC",323117,"Printing/Publishing Facility","OP",36.611167,-119.521071,"605 S ZEDIKER AVE","PARLIER","CA","93648",10425811,"INCLUDE"
19260411,"1014309000","CARB","CA","Fresno",6019,NA,"MAXCO SUPPLY INC","MAXCO SUPPLY INC",323111,"","OP",36.583478,-119.427973,"1855 E OLSON AVE","REEDLEY","CA","93654",19260411,"INCLUDE"
3246711,"","","CA","San Bernardino",6071,NA,"May Mfg  (Dba Artesian Spas)","Na",326191,"","OP",34.58111,-117.375,"13198 Mustang St.","Victorville","CA","92394",3246711,"INCLUDE"
2153211,"5611347347","CARB","CA","Ventura",6111,NA,"MAZ GRAPHIC & PRINTING","AA PRINTING",323111,"Printing/Publishing Facility","OP",34.197033,-118.929644,"1355 LAWRENCE DR.-#111","NEWBURY PARK","CA","91320",2153211,"INCLUDE"
