OBJECTID,HUC12,Name,AqHabRank,AqHabSWNorm,AqHabTot,AnadHab,Riparian,Lakes,FreshWetld,MeadowFEW,Ponds,SeepSpring,VernalPool,SaltWetld,Shape_Length,Shape_Area
1878,1.80E+11,Peacock Creek-Pit River,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,99758.05435,174846319.1
1879,1.80E+11,Little Hot Spring Valley,3,0.6,3,N,Y,Y,Y,Y,Y,N,N,N,35328.37449,41810503.36
1880,1.80E+11,Widow Valley Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,N,N,47093.16875,81977142.06
1881,1.80E+11,Taylor Creek,3,0.6,3,N,Y,Y,Y,Y,Y,N,Y,N,69078.53096,98506464.44
1882,1.80E+11,The Frog Pond-Tule Lake,2,0.4,2,N,N,Y,Y,Y,N,N,N,N,63956.54639,118365807.9
1883,1.80E+11,Woolen Canyon-Lost River,0,0,0,N,N,N,N,N,N,N,N,N,1291.173495,69961.72592
1884,1.81E+11,Pico Creek,4,0.8,4,Y,Y,N,Y,Y,Y,N,N,Y,29100.87411,34604284.33
1885,1.81E+11,Hamilton Canyon-Salinas River,4,0.8,4,Y,Y,Y,Y,Y,N,N,N,N,91786.1642,118664442.9
1886,1.81E+11,Middle Chalone Creek,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,36798.78116,64452542.42
1887,1.81E+11,Rock Springs Creek-San Benito River,3,0.6,3,Y,Y,N,Y,Y,Y,N,Y,N,58035.03256,120518281
1888,1.81E+11,Wildhorse Canyon,2,0.4,2,N,Y,N,Y,Y,N,N,N,N,47893.58659,45882119.2
1889,1.80E+11,Lower South Fork Los Banos Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,Y,N,46773.07347,84853674.01
1890,1.80E+11,Carrisalito Creek-Los Banos Creek,3,0.6,3,N,Y,Y,Y,Y,N,Y,Y,N,54214.50673,108303762.8
1891,1.80E+11,Piedra Azul Creek,3,0.6,3,N,Y,Y,Y,Y,N,N,Y,N,43105.57948,69158375.66
1892,1.80E+11,Middle Lone Tree Creek,2,0.4,2,N,Y,N,Y,Y,Y,N,N,N,64139.22555,135582037.1
